timestamp,open,high,low,close,volume,mean_value,ma_20,ma_50
2020-05-29T04:00:00Z,9422.2002,9598.8496,9376.9004,9580.2998,967000,9487.875,NA,NA
2020-05-28T04:00:00Z,9364.9502,9511.25,9336.5,9490.0996,837900,9423.875,NA,NA
2020-05-27T04:00:00Z,9082.2002,9334,9004.25,9314.9502,763500,9169.125,NA,NA
2020-05-26T04:00:00Z,9099.75,9161.6504,8996.6504,9029.0498,655000,9079.1504,NA,NA
2020-05-22T04:00:00Z,9067.9004,9149.5996,8968.5498,9039.25,675800,9059.074700000001,NA,NA
2020-05-21T04:00:00Z,9079.4502,9178.5498,9056.0996,9106.25,631500,9117.324700000001,NA,NA
2020-05-20T04:00:00Z,8889.1504,9093.7998,8875.3496,9066.5498,622300,8984.574700000001,NA,NA
2020-05-19T04:00:00Z,8961.7002,9030.3496,8855.2998,8879.0996,762200,8942.824700000001,NA,NA
2020-05-18T04:00:00Z,9158.2998,9158.2998,8806.75,8823.25,773000,8982.5249,NA,NA
2020-05-15T04:00:00Z,9182.4004,9182.4004,9050,9136.8496,575900,9116.2002,9225.40742,NA
2020-05-14T04:00:00Z,9213.9502,9281.0996,9119.75,9142.75,602600,9200.4248,9224.05991,NA
2020-05-13T04:00:00Z,9584.2002,9584.5,9351.0996,9383.5498,846400,9467.7998,9218.59995,NA
2020-05-12T04:00:00Z,9168.8496,9240.8496,9043.9502,9196.5498,805500,9142.3999,9216.96743,NA
2020-05-11T04:00:00Z,9348.1504,9439.9004,9219.9502,9239.2002,704600,9329.925299999999,9223.23496,NA
2020-05-08T04:00:00Z,9376.9502,9382.6504,9238.2002,9251.5,609100,9310.425299999999,9236.967480000001,NA
2020-05-07T04:00:00Z,9234.0498,9277.8496,9175.9004,9199.0498,708700,9226.875,9241.01997,NA
2020-05-06T04:00:00Z,9226.7998,9346.9004,9116.5,9270.9004,722200,9231.7002,9236.76499,NA
2020-05-05T04:00:00Z,9429.4004,9450.9004,9190.75,9205.5996,725200,9320.8252,9255.90249,NA
2020-05-04T04:00:00Z,9533.5,9533.5,9266.9502,9293.5,687500,9400.2251,9278.07749,NA
2020-04-30T04:00:00Z,9753.5,9889.0498,9731.5,9859.9004,931200,9810.2749,9270.875,NA
2020-04-29T04:00:00Z,9408.5996,9599.8496,9392.3496,9553.3496,653000,9496.0996,9260.00249,NA
2020-04-28T04:00:00Z,9389.7998,9404.4004,9260,9380.9004,614500,9332.2002,9240.51748,NA
2020-04-27T04:00:00Z,9259.7002,9377.0996,9250.3496,9282.2998,512800,9313.7246,9236.285010000001,NA
2020-04-24T04:00:00Z,9163.9004,9296.9004,9141.2998,9154.4004,659400,9219.1001,9211.7625,NA
2020-04-23T04:00:00Z,9232.3496,9343.5996,9170.1504,9313.9004,666700,9256.875,9188.79751,8985.995956
2020-04-22T04:00:00Z,9026.75,9209.75,8946.25,9187.2998,734400,9078,9133.03501,8986.192968
2020-04-21T04:00:00Z,9016.9502,9044.4004,8909.4004,8981.4502,655100,8976.9004,9082.17998,9005.558984
2020-04-20T04:00:00Z,9390.2002,9390.8496,9230.7998,9261.8496,726400,9310.824700000001,9051.7875,9028.288983999999
2020-04-17T04:00:00Z,9323.4502,9324,9091.3496,9266.75,684200,9207.6748,9001.16748,9067.496992
2020-04-16T04:00:00Z,8851.25,9053.75,8821.9004,8992.7998,719400,8937.8252,8941.18496,9112.091992
